OBJECTID_1,GROWTH_RATE
1545,0.02
1546,-0.003
1547,0.026
1548,0.032
1549,0.027
1550,0.02
1551,0.009
1552,0.019
1553,0.023
1554,0.021
1555,0.014
1556,0.017
1557,0.011
1558,0.013
1559,0.013
1560,-0.009
1561,0.024
1562,0.027
1563,-0.003
1564,-0.001
1565,0.014
1566,0.028
1567,0.039
1568,0.025
1569,0.029
1570,0.034
1571,0.013
1572,-0.006
1573,0.013
1574,0.028
1575,0.016
1576,0.02
1577,0.012
1578,0.015
1579,0.024
1580,0.008
1581,0.031
1582,0.025
1583,-0.007
1584,0.019
1585,0.021
1586,-0.006
1587,0.013
1588,0.015
1589,-0.003
1590,-0.02
1591,0.011
1592,0.056
1593,-0.004
1594,0.013
1595,-0.003
1596,0.018
1597,0.028
1598,0.011
1599,0.06
1600,0.008
1601,-0.002
1602,0.003
1603,0.008
1604,0.004
1605,-0.005
1606,-0.008
1607,0.001
1608,-0.008
1609,-0.011
1610,0.013
1611,-0.016
1612,0.042
1613,0.014
1614,0.014
1615,0.016
1616,0.008
1617,0.001
1618,0.045
1619,-0.01
1620,0.018
1621,0.017
1622,0.025
1623,-0.047
1624,0.029
1625,0.022
1626,-0.008
1627,0.016
1628,0.014
1629,-0.034
1630,0.025
1631,0.02
1632,0.025
1633,0.017
1634,-0.003
1635,-0.001
1636,0.017
1637,0.024
1638,0.017
1639,0.016
1640,0.024
1641,0.059
1642,0.015
1643,0.009
1644,0.016
1645,0.076
1646,-0.006
1647,0.005
1648,-0.026
1649,-0.011
1650,-0.014
1651,0.027
1652,-0.003
1653,0.014
1654,-0.003
1655,0.011
1656,0.02
1657,0.03
1658,0.029
1659,-0.003
1660,0.001
1661,-0.003
1662,0.013
1663,0.021
1664,0.006
1665,0.015
1666,-0.004
1667,0
1668,0.016
1669,0.013
1670,0.022
1671,-0.002
1672,0.017
1673,0.003
1674,-0.004
1675,0.002
1676,0.016
1677,0.029
1678,0
1679,-0.013
1680,0.022
1681,0.007
1682,0.036
1683,0.023
1684,0.015
1685,0.016
1686,0.015
1687,0.024
1688,0.016
1689,0.021
1690,0.003
1691,0.007
1692,-0.001
1693,0.029
1694,0.015
1695,0.015
1696,0
1697,-0.004
1698,0.005
1699,0.032
1700,0.026
1701,0.015
1702,-0.026
1703,0.013
1704,0.014
1705,0
1706,0.014
1707,0.015
1708,0.028
1709,0.015
1710,-0.003
1711,0.024
1712,0.024
1713,0.027
1714,0.045
1715,0.023
1716,0.001
1717,-0.016
1718,0.022
1719,0.006
